50.0125325,19.9703321,0.0,55.163
50.0123857,19.9698545,0.0,54.0  
50.01276439,19.97045,329.7999877
49.9642156,19.8984147,0.0,1325.0
50.0098796,19.9750937,0.0,967.0 
50.01533662,19.97009576,292.6000
50.01403938,19.96557326,306.2000
50.01913263,19.9614196,287.10000
50.02127885,19.96029694,285.2999
50.02397465,19.95862732,261.5,8.
50.02686433,19.94877935,264.3999
50.03162609,19.94867799,254.6999
50.03599227,19.94171243,249.3000
50.03716936,19.94022384,250.0,8.
50.04168059,19.93568884,242.1999
50.04528938,19.93461576,241.3999
50.04858941,19.93299692,244.6000
50.05698518,19.92685536,243.6000
50.05979048,19.92512351,246.1999
50.06199914,19.9239035,242.0,5.0
50.06380728,19.92615842,248.5,14
50.06386218,19.92677452,273.1000
50.0642736,19.9328777,0.0,805.0 
50.064419,19.9324777,0.0,740.0  
50.0639528,19.9242159,0.0,683.0 
